0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0
0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0
0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0
0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0
0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
3,,,,,,,,,,,,,,,
0,0,Player,,,,,,,,,,,,,
15,11,RandomCentipede,,,,,,,,,,,,,
15,11,ChasePlayerCentipede,,,,,,,,,,,,,
