0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1
1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,,,,,,,,,,,,,,
7,5,Player,,,,,,,,,,,,,
2,2,Flash,,,,,,,,,,,,,
13,2,Flash,,,,,,,,,,,,,
2,9,Flash,,,,,,,,,,,,,
13,9,Flash,,,,,,,,,,,,,
2,2,LockGoal,,,,,,,,,,,,,
