0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0
0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0
0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,,,,,,,,,,,,,,,
7,6,Player,,,,,,,,,,,,,
0,0,RunAwayGoal,,,,,,,,,,,,,
0,0,Chase,,,,,,,,,,,,,
0,2,Horizontal,,,,,,,,,,,,,
15,2,Horizontal,,,,,,,,,,,,,
0,9,Horizontal,,,,,,,,,,,,,
15,9,Horizontal,,,,,,,,,,,,,
2,0,Vertical,,,,,,,,,,,,,
2,11,Vertical,,,,,,,,,,,,,
13,11,Vertical,,,,,,,,,,,,,
13,0,Vertical,,,,,,,,,,,,,
