0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0
0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0
0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0
0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0
0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
6,,,,,,,,,,,,,,,
0,0,Player,,,,,,,,,,,,,
15,11,GoalTailCentipede,,,,,,,,,,,,,
7,11,DefenceCentipede,,,,,,,,,,,,,
15,6,ChasePlayerCentipede,,,,,,,,,,,,,
0,11,RandomCentipede,,,,,,,,,,,,,
15,0,RandomCentipede,,,,,,,,,,,,,
