Function,PrepareDiary,#,,,,
Generate,RoadBack,Road,0,0,#,
Run,#,,,,,
Move,BoxRobot,FALSE,160,262,0,#
Init,BoxRobot,Enlarged,#,,,
Hide,BoxRobot,TRUE,#,,,
Init,Road,Entrance,#,,,
Hide,Road,TRUE,#,,,
Run,#,,,,,
Wait,60,#,,,,
Text,ハカセ,DoctorIcon,5,〇〇年〇月〇日。,#,
Text,ハカセ,DoctorIcon,5,新しいロボットの開発を始める。,#,
Text,ハカセ,DoctorIcon,8,ロボットにココロを実装する。,#,
Dark,TRUE,#,,,,
Hide,BoxRobot,FALSE,#,,,
Shadow,FALSE,#,,,,
Background,WhiteBack,#,,,,
Hide,Road,FALSE,#,,,
Hide,TV,TRUE,#,,,
Wait,60,#,,,,
Dark,FALSE,#,,,,
Wait,30,#,,,,
Act,BoxRobot,Blink,#,,,
Wait,30,#,,,,
Act,BoxRobot,Blink,#,,,
Act,BoxRobot,Blink,#,,,
Text,箱型ロボット,BoxRobotQuestionIcon,8,今のは…、ハカセの日記？　　　　　　\n僕の中に？,#,
Scene,SavingDataScene,,#,,,
