Function,PrepareReductionWorkSpace,#,,,,
Move,HelpRobot,FALSE,500,220,0,#
Run,#,,,,,
Init,TV,On,#,,,
Wait,120,#,,,,
Text,???,HelpRobotIcon,7,やっと見つけた…。\n施設の設備にアクセスできるロボット…。,#,
Dark,TRUE,#,,,,
Background,WorkSpace(enlarged),#,,,,
Init,BoxRobot,Enlarged,#,,,
Init,HelpRobot,Enlarged,#,,,
Move,BoxRobot,FALSE,130,102,0,#
Move,HelpRobot,FALSE,320,120,0,#
Hide,TV,TRUE,#,,,
Wait,60,#,,,,
Dark,FALSE,#,,,,
Text,お手伝いロボット,HelpRobotIcon,5,僕はお手伝いロボット。\n君は？何のロボット？,#,
Text,箱型ロボット,BoxRobotIcon,8,私は箱型ロボットです。\n施設の一部管理を任されています。,#,
Act,HelpRobot,ArmUp,#,,,
Wait,60,#,,,,
Text,お手伝いロボット,HelpRobotIcon,10,…。,#,
Text,お手伝いロボット,HelpRobotIcon,7,この施設から出るのを手伝ってほしいんだ。,#,
Act,BoxRobot,Dot,#,,,
Text,箱型ロボット,BoxRobotIcon,8,分かりました。\nお手伝いします。,#,
Wait,60,#,,,,
Scene,SavingDataScene,,#,,,
